nohup: ignoring input
t=2025-10-29T04:40:49+0530 lvl=info msg="no configuration paths supplied"
t=2025-10-29T04:40:49+0530 lvl=info msg="using configuration at default config path" path=/home/nitesh/.config/ngrok/ngrok.yml
t=2025-10-29T04:40:49+0530 lvl=info msg="open config file" path=/home/nitesh/.config/ngrok/ngrok.yml err=nil
t=2025-10-29T04:40:49+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-10-29T04:40:49+0530 lvl=info msg="client session established" obj=tunnels.session
t=2025-10-29T04:40:49+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-10-29T05:49:49+0530 lvl=info msg="join connections" obj=join id=5965c7a5277a l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:62618
t=2025-10-29T05:49:50+0530 lvl=info msg="join connections" obj=join id=3521ea757ef8 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:58232
t=2025-10-29T05:49:55+0530 lvl=info msg="join connections" obj=join id=9d43f29a0e09 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:58232
t=2025-10-29T05:50:00+0530 lvl=info msg="join connections" obj=join id=ea35c2ef6778 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:58232
t=2025-10-29T05:50:51+0530 lvl=info msg="join connections" obj=join id=7c57d9727d55 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:58232
t=2025-10-29T05:50:51+0530 lvl=info msg="join connections" obj=join id=54d414abbdd2 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:58273
t=2025-10-29T05:50:51+0530 lvl=info msg="join connections" obj=join id=d66a148802a9 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:58273
t=2025-10-29T05:50:51+0530 lvl=info msg="join connections" obj=join id=2b06d95b79c5 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:63055
t=2025-10-29T05:50:51+0530 lvl=info msg="join connections" obj=join id=1c90ca339164 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:63055
t=2025-10-29T05:50:52+0530 lvl=info msg="join connections" obj=join id=282ae58c3947 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:61614
t=2025-10-29T05:55:52+0530 lvl=info msg="join connections" obj=join id=c3c2eaaeebb1 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:63817
t=2025-10-29T05:56:48+0530 lvl=info msg="join connections" obj=join id=6afc0582e6f9 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:63817
t=2025-10-29T06:01:51+0530 lvl=info msg="join connections" obj=join id=ae75f273cfe5 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:57864
t=2025-10-29T08:39:22+0530 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=9a2c7b642782 err="read tcp 172.23.232.208:49706->3.108.208.206:443: read: connection reset by peer"
t=2025-10-29T08:39:34+0530 lvl=info msg="client session established" obj=tunnels.session
t=2025-10-29T08:39:34+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-10-29T08:39:38+0530 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=28a636694613 clientid=b3e98cb4de0a5e678685f51b85f56caf
